年份,学校名称_链接,学校名称,院系名称_链接,院系名称,专业代码,专业名称_链接,专业名称,总分,政治__管综,外语,业务课_一,业务课_二
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/36/,软件与微电子学院,085208,http://yz.kaoyan365.cn/school/pku/zhuanye/87656.html,电子与通信工程,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/36/,软件与微电子学院,085211,http://yz.kaoyan365.cn/school/pku/zhuanye/87658.html,计算机技术,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/35/,信息科学技术学院,080902,http://yz.kaoyan365.cn/school/pku/zhuanye/87664.html,电路与系统,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/36/,软件与微电子学院,085209,http://yz.kaoyan365.cn/school/pku/zhuanye/87657.html,集成电路工程,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/36/,软件与微电子学院,085212,http://yz.kaoyan365.cn/school/pku/zhuanye/87659.html,软件工程,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/36/,软件与微电子学院,085239,http://yz.kaoyan365.cn/school/pku/zhuanye/87661.html,项目管理,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/26/,城市与环境学院,070502,http://yz.kaoyan365.cn/school/pku/zhuanye/87646.html,人文地理学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/26/,城市与环境学院,0705Z1,http://yz.kaoyan365.cn/school/pku/zhuanye/87648.html,城市与区域规划,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/37/,建筑与景观设计学院,095300,http://yz.kaoyan365.cn/school/pku/zhuanye/87654.html,风景园林硕士,300,45,45,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/26/,城市与环境学院,071300,http://yz.kaoyan365.cn/school/pku/zhuanye/87650.html,生态学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/26/,城市与环境学院,083001,http://yz.kaoyan365.cn/school/pku/zhuanye/87652.html,环境科学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/15/,心理学系,045400,http://yz.kaoyan365.cn/school/pku/zhuanye/87644.html,应用心理硕士,320,50,50,180,-
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/26/,城市与环境学院,070905,http://yz.kaoyan365.cn/school/pku/zhuanye/87649.html,第四纪地质学,320,50,50,90,90
